2026-07-30 20:36:16,562 | api | INFO | Compiling workflow graph...
2026-07-30 20:36:16,562 | graph | INFO | Initializing multi-agent research workflow graph
2026-07-30 20:36:16,563 | graph | INFO | Registering agent nodes to the workflow graph:
2026-07-30 20:36:16,563 | graph | INFO |   Node: 'split' -> split_questions
2026-07-30 20:36:16,563 | graph | INFO |   Node: 'research1' -> market.research1
2026-07-30 20:36:16,563 | graph | INFO |   Node: 'research2' -> competitor.research2
2026-07-30 20:36:16,563 | graph | INFO |   Node: 'research3' -> innovation.research3
2026-07-30 20:36:16,563 | graph | INFO |   Node: 'synthesis' -> synthesis_analyst
2026-07-30 20:36:16,563 | graph | INFO |   Node: 'report' -> report_writer
2026-07-30 20:36:16,563 | graph | INFO |   Node: 'improve_report' -> improve_report
2026-07-30 20:36:16,563 | graph | INFO |   Node: 'quality' -> quality_check
2026-07-30 20:36:16,563 | graph | INFO | Registering connecting edges in the graph:
2026-07-30 20:36:16,563 | graph | INFO |   Edge: split -> research1, research2, research3 (Parallel execution)
2026-07-30 20:36:16,563 | graph | INFO |   Edge: research1, research2, research3 -> synthesis (Fan-in / Join)
2026-07-30 20:36:16,563 | graph | INFO |   Edge: synthesis -> report -> quality
2026-07-30 20:36:16,563 | graph | INFO |   Conditional Edge: quality -> review_router -> {END, improve_report}
2026-07-30 20:36:16,563 | graph | INFO |   Edge: improve_report -> quality (Review loop)
2026-07-30 20:36:16,563 | graph | INFO | Compiling workflow graph successfully
2026-07-30 20:36:16,566 | api | INFO | Workflow graph compiled successfully.
2026-07-30 20:36:16,571 | api | INFO | Starting up FastAPI application...
2026-07-30 20:36:16,571 | api | INFO | Initializing database tables if not existing...
2026-07-30 20:36:16,575 | api | INFO | Database tables initialized successfully.
2026-07-30 20:36:36,992 | api | INFO | API: GET /reports called (skip=0, limit=100)
2026-07-30 20:36:36,995 | api | INFO | API: Retrieved 3 research reports from database
2026-07-30 20:36:36,997 | api | INFO | API: GET /reports called (skip=0, limit=100)
2026-07-30 20:36:36,997 | api | INFO | API: Retrieved 3 research reports from database
2026-07-30 20:36:56,804 | api | INFO | API: GET /reports called (skip=0, limit=100)
2026-07-30 20:36:56,804 | api | INFO | API: Retrieved 3 research reports from database
2026-07-30 20:36:56,805 | api | INFO | API: GET /reports called (skip=0, limit=100)
